codigo_dane,tratamiento,edad,sexo,EGRA_Total,EGMA_Total,CSL_pct_correctas,DPSS_pct_correctas,LP_pct_correctas,CL_pct_correctas,miss_num_pct_correctas,comp_mat_op_pct_correctas,sums_pct_correctas,substract_pct_correctas,mult_div_pct_correctas,res_problems_pct_correctas,ruralidad,pdet,tei_nivel_pre,matricula_pre,pct_jornada_completa,composicion_grados,zona_C,zona_D,zona_E,tiene_tei_slope,tei_slope_pre,zona_ptafi
125754002066,1,10,2,69.6525,49.705000000000005,30.0,88,60.61,100.0,80,40,56,55.56,50,16.67,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
125754002066,1,11,1,25.967499999999998,81.54333333333334,13.33,36,21.21,33.33,80,70,100,92.59,80,66.67,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
376001030965,0,11,1,47.682500000000005,89.135,0.0,78,46.06,66.67,90,80,100,81.48,100,83.33,0.0,0.0,95.16745953355236,651.0,0.0,4.0,False,True,False,0,,D
119548000251,0,10,2,3.3325,4.445,13.33,0,0.0,0.0,10,0,0,0.0,0,16.67,0.0,0.0,90.9504481706702,1230.0,0.0,4.0,False,True,False,1,0.9777490020274088,D
125754002066,1,10,2,46.75,80.98833333333333,25.0,62,33.33,66.67,80,90,100,59.26,90,66.67,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
119548000014,1,10,2,39.2875,82.61666666666666,16.67,62,28.48,50.0,70,90,92,70.37,90,83.33,0.0,0.0,88.12728061959906,941.0,0.0,4.0,False,True,False,1,-3.300015784652686,D
125754002066,1,9,2,68.645,80.19666666666667,58.33,92,57.58,66.67,90,70,96,51.85,90,83.33,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
119001003981,1,9,1,21.24,47.48166666666666,13.33,28,10.3,33.33,50,40,56,55.56,50,33.33,0.0,0.0,96.70943209628568,1399.0,0.0,4.0,False,True,False,1,3.694207178719765,D
325754004238,0,9,1,53.00750000000001,61.778333333333336,25.0,64,56.36,66.67,80,70,84,66.67,20,50.0,0.0,0.0,99.29179282600856,1396.0,100.0,3.0,True,False,False,0,,C
119001001474,0,9,2,61.97,80.865,53.33,80,47.88,66.67,80,70,100,85.19,100,50.0,0.0,0.0,98.90026346892544,1094.0,0.0,4.0,False,True,False,1,-1.849822712498764,D
195001001111,1,10,2,29.4925,55.42000000000001,15.0,56,30.3,16.67,50,70,84,51.85,60,16.67,0.0,1.0,83.01764567898707,1586.0,0.0,4.0,False,False,True,1,3.9711727661370446,E
119001001474,0,9,2,62.317499999999995,74.89,16.67,82,67.27,83.33,80,90,96,66.67,50,66.67,0.0,0.0,98.90026346892544,1094.0,0.0,4.0,False,True,False,1,-1.849822712498764,D
244430001635,1,11,1,60.8425,87.53166666666668,15.0,92,69.7,66.67,80,60,100,85.19,100,100.0,0.0,0.0,98.51917361165148,1015.0,0.0,4.0,False,False,False,1,-1.3372213277041851,A
208573000072,1,11,2,6.1875,6.111666666666667,8.33,14,2.42,0.0,20,0,0,0.0,0,16.67,1.0,0.0,99.37625004866295,526.0,0.0,4.0,False,False,False,1,0.8621434479534713,A
344430001176,0,9,1,0.455,0.0,0.0,0,1.82,0.0,0,0,0,0.0,0,0.0,0.0,0.0,99.56896551724138,301.0,0.0,4.0,False,False,False,0,,A
176001043791,1,11,2,39.8625,45.580000000000005,13.33,64,32.12,50.0,50,50,52,48.15,40,33.33,0.0,0.0,88.9038638514175,1260.0,0.0,4.0,False,True,False,1,-1.1683834405399125,D
125754002066,1,10,1,4.5,22.61833333333333,10.0,8,0.0,0.0,30,0,32,37.04,20,16.67,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
125754002066,1,10,1,54.605000000000004,64.655,16.67,56,62.42,83.33,80,40,92,59.26,50,66.67,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
125754002066,1,11,1,60.5,64.51833333333333,23.33,92,60.0,66.67,80,90,36,44.44,70,66.67,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
195001001111,1,10,1,46.22,70.13666666666667,25.0,62,47.88,50.0,80,80,96,48.15,50,66.67,0.0,1.0,83.01764567898707,1586.0,0.0,4.0,False,False,True,1,3.9711727661370446,E
344430001176,0,9,1,60.1425,80.55499999999999,18.33,78,44.24,100.0,80,40,100,100.0,80,83.33,0.0,0.0,99.56896551724138,301.0,0.0,4.0,False,False,False,0,,A
208573000072,1,10,1,29.044999999999998,65.82833333333333,16.67,48,18.18,33.33,50,60,92,96.3,30,66.67,1.0,0.0,99.37625004866295,526.0,0.0,4.0,False,False,False,1,0.8621434479534713,A
376001030965,0,9,1,68.33500000000001,82.84,16.67,90,66.67,100.0,100,70,100,70.37,90,66.67,0.0,0.0,95.16745953355236,651.0,0.0,4.0,False,True,False,0,,D
376001030965,0,11,1,30.452499999999997,31.666666666666668,0.0,40,48.48,33.33,20,10,80,33.33,30,16.67,0.0,0.0,95.16745953355236,651.0,0.0,4.0,False,True,False,0,,D
376001030965,0,10,1,56.675,81.54333333333334,28.33,82,49.7,66.67,80,90,100,92.59,60,66.67,0.0,0.0,95.16745953355236,651.0,0.0,4.0,False,True,False,0,,D
195001001111,1,9,1,37.302499999999995,85.0,26.67,48,41.21,33.33,90,80,100,100.0,90,50.0,0.0,1.0,83.01764567898707,1586.0,0.0,4.0,False,False,True,1,3.9711727661370446,E
366001000670,0,9,2,45.5075,70.50666666666667,15.0,74,43.03,50.0,90,70,76,70.37,50,66.67,0.0,0.0,97.53860577328943,442.0,100.0,4.0,True,False,False,0,,C
125754002066,1,10,2,39.68,30.90166666666667,23.33,46,39.39,50.0,50,0,48,40.74,30,16.67,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
119001001474,0,9,2,57.74250000000001,64.715,23.33,84,56.97,66.67,60,40,92,62.96,50,83.33,0.0,0.0,98.90026346892544,1094.0,0.0,4.0,False,True,False,1,-1.849822712498764,D
176001043791,1,9,1,79.46249999999999,71.50666666666667,55.0,88,91.52,83.33,80,70,92,70.37,50,66.67,0.0,0.0,88.9038638514175,1260.0,0.0,4.0,False,True,False,1,-1.1683834405399125,D
125754002066,1,12,1,53.205,65.09833333333333,45.0,66,35.15,66.67,90,50,88,59.26,70,33.33,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
366001000670,0,9,2,69.80999999999999,72.89999999999999,38.33,100,57.58,83.33,70,60,100,74.07,50,83.33,0.0,0.0,97.53860577328943,442.0,100.0,4.0,True,False,False,0,,C
119001003981,1,11,2,40.795,58.321666666666665,15.0,40,24.85,83.33,60,50,64,59.26,50,66.67,0.0,0.0,96.70943209628568,1399.0,0.0,4.0,False,True,False,1,3.694207178719765,D
366001000670,0,9,2,35.212500000000006,53.0,10.0,76,38.18,16.67,30,30,88,66.67,70,33.33,0.0,0.0,97.53860577328943,442.0,100.0,4.0,True,False,False,0,,C
366001000670,0,9,2,50.3775,35.395,10.0,70,38.18,83.33,60,30,12,37.04,40,33.33,0.0,0.0,97.53860577328943,442.0,100.0,4.0,True,False,False,0,,C
244430001635,1,10,1,58.03,69.96333333333332,20.0,100,45.45,66.67,70,50,92,77.78,80,50.0,0.0,0.0,98.51917361165148,1015.0,0.0,4.0,False,False,False,1,-1.3372213277041851,A
125754002066,1,10,2,54.09,51.086666666666666,10.0,80,43.03,83.33,50,20,68,51.85,50,66.67,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
225126000288,1,9,2,37.0225,61.86333333333334,25.0,34,22.42,66.67,50,70,56,51.85,60,83.33,0.0,0.0,96.12225747971851,901.0,0.0,4.0,True,False,False,1,-0.2618497373351687,C
244430001635,1,10,1,46.515,34.47,0.0,70,32.73,83.33,30,0,72,48.15,40,16.67,0.0,0.0,98.51917361165148,1015.0,0.0,4.0,False,False,False,1,-1.3372213277041851,A
376001030965,0,9,2,58.302499999999995,64.44500000000001,23.33,92,67.88,50.0,80,30,80,66.67,80,50.0,0.0,0.0,95.16745953355236,651.0,0.0,4.0,False,True,False,0,,D
225126000288,1,8,1,64.97,67.38166666666666,13.33,92,54.55,100.0,80,90,88,62.96,50,33.33,0.0,0.0,96.12225747971851,901.0,0.0,4.0,True,False,False,1,-0.2618497373351687,C
125754002066,1,9,1,39.6525,49.678333333333335,26.67,58,40.61,33.33,70,30,64,40.74,60,33.33,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
244430001635,1,10,2,58.540000000000006,82.93833333333333,21.67,84,61.82,66.67,90,50,88,96.3,90,83.33,0.0,0.0,98.51917361165148,1015.0,0.0,4.0,False,False,False,1,-1.3372213277041851,A
125754002066,1,10,2,46.045,58.01166666666666,13.33,56,31.52,83.33,70,40,64,40.74,50,83.33,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
