locationEstudiante,locationSede,codigo_dane,tratamiento,par_id,pionero,edad,sexo,zona,ruralidad,pdet,zona_ptafi,tei_nivel_pre,tei_slope_pre,matricula_pre,num_jornadas,pct_jornada_completa,composicion_grados,CSL_total_correctas,CSL_pct_correctas,DPSS_total_correctas,DPSS_pct_correctas,LP_total_correctas,LP_pct_correctas,CL_total_correctas,CL_pct_correctas,miss_num_total_correctas,miss_num_pct_correctas,comp_mat_op_total_correctas,comp_mat_op_pct_correctas,sums_total_correctas,sums_pct_correctas,substract_total_correctas,substract_pct_correctas,mult_div_total_correctas,mult_div_pct_correctas,res_problems_total_correctas,res_problems_pct_correctas
78210464,119001001474,119001001474,0,5.0,0.0,9,2,URBANO,0.0,0.0,D,98.90026346892544,-1.8498227124987636,1094.0,1.0,0.0,4.0,10,16.67,41,82,111,67.27,5,83.33,8,80,9,90,24,96,18,66.67,5,50,4,66.67
78256837,244430001635,244430001635,1,3.0,0.0,11,1,URBANO,0.0,0.0,A,98.51917361165148,-1.3372213277041851,1015.0,3.0,0.0,4.0,9,15.0,46,92,115,69.7,4,66.67,8,80,6,60,25,100,23,85.19,10,100,6,100.0
78261885,208573000072,208573000072,1,8.0,0.0,11,2,RURAL,1.0,0.0,A,99.37625004866297,0.8621434479534713,526.0,2.0,0.0,4.0,5,8.33,7,14,4,2.42,0,0.0,2,20,0,0,0,0,0,0.0,0,0,1,16.67
78282595,344430001176,344430001176,0,3.0,0.0,9,1,URBANO,0.0,0.0,A,99.56896551724138,,301.0,1.0,0.0,4.0,0,0.0,0,0,3,1.82,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
78311477,176001043791,176001043791,1,1.0,1.0,11,2,URBANO,0.0,0.0,D,88.9038638514175,-1.1683834405399125,1260.0,1.0,0.0,4.0,8,13.33,32,64,53,32.12,3,50.0,5,50,5,50,13,52,13,48.15,4,40,2,33.33
78320333,125754002066,125754002066,1,11.0,1.0,10,1,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,6,10.0,4,8,0,0.0,0,0.0,3,30,0,0,8,32,10,37.04,2,20,1,16.67
78329465,125754002066,125754002066,1,11.0,1.0,10,1,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,10,16.67,28,56,103,62.42,5,83.33,8,80,4,40,23,92,16,59.26,5,50,4,66.67
78331088,125754002066,125754002066,1,11.0,1.0,11,1,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,14,23.33,46,92,99,60.0,4,66.67,8,80,9,90,9,36,12,44.44,7,70,4,66.67
78355513,195001001111,195001001111,1,10.0,0.0,10,1,URBANO,0.0,1.0,E,83.01764567898707,3.9711727661370446,1586.0,3.0,0.0,4.0,15,25.0,31,62,79,47.88,3,50.0,8,80,8,80,24,96,13,48.15,5,50,4,66.67
78356494,344430001176,344430001176,0,3.0,0.0,9,1,URBANO,0.0,0.0,A,99.56896551724138,,301.0,1.0,0.0,4.0,11,18.33,39,78,73,44.24,6,100.0,8,80,4,40,25,100,27,100.0,8,80,5,83.33
78366898,208573000072,208573000072,1,8.0,0.0,10,1,RURAL,1.0,0.0,A,99.37625004866297,0.8621434479534713,526.0,2.0,0.0,4.0,10,16.67,24,48,30,18.18,2,33.33,5,50,6,60,23,92,26,96.3,3,30,4,66.67
78376431,376001030965,376001030965,0,1.0,1.0,9,1,URBANO,0.0,0.0,D,95.16745953355237,,651.0,2.0,0.0,4.0,10,16.67,45,90,110,66.67,6,100.0,10,100,7,70,25,100,19,70.37,9,90,4,66.67
78387278,376001030965,376001030965,0,1.0,1.0,11,1,URBANO,0.0,0.0,D,95.16745953355237,,651.0,2.0,0.0,4.0,0,0.0,20,40,80,48.48,2,33.33,2,20,1,10,20,80,9,33.33,3,30,1,16.67
78391578,376001030965,376001030965,0,1.0,1.0,10,1,URBANO,0.0,0.0,D,95.16745953355237,,651.0,2.0,0.0,4.0,17,28.33,41,82,82,49.7,4,66.67,8,80,9,90,25,100,25,92.59,6,60,4,66.67
78411611,195001001111,195001001111,1,10.0,0.0,9,1,URBANO,0.0,1.0,E,83.01764567898707,3.9711727661370446,1586.0,3.0,0.0,4.0,16,26.67,24,48,68,41.21,2,33.33,9,90,8,80,25,100,27,100.0,9,90,3,50.0
